exercise_template_id,source_title,canonical_exercise,movement_pattern,is_unilateral,is_compound
3BC06AD3,21s Bicep Curl,bicep_curl_21s,elbow_flexion,false,false
B4F2FF72,Ab Scissors,ab_scissors,core_hip_flexion,false,false
99D5F10E,Ab Wheel,ab_wheel,core_antiextension,false,false
43573BB8,Air Bike,air_bike,cardio,false,false
A69FF221,Arnold Press (Dumbbell),arnold_press,vertical_push,false,true
4F5866F8,Back Extension (Hyperextension),back_extension,hip_extension,false,false
E8D86EE8,Band Pullaparts,band_pullapart,rear_delt,false,false
e824eb91-d3e8-4e0c-b886-e4c46199e14e,Belt Squat,belt_squat,squat,false,true
3D1CDC75,Belt Squat (Machine),belt_squat,squat,false,true
79D0BB3A,Bench Press (Barbell),bench_press_barbell,horizontal_push,false,true
3601968B,Bench Press (Dumbbell),bench_press_dumbbell,horizontal_push,false,true
35B51B87,Bench Press - Close Grip (Barbell),close_grip_bench_press,horizontal_push,false,true
55E6546F,Bent Over Row (Barbell),bent_over_row_barbell,horizontal_pull,false,true
23E92538,Bent Over Row (Dumbbell),bent_over_row_dumbbell,horizontal_pull,false,true
ADA8623C,Bicep Curl (Cable),bicep_curl_cable,elbow_flexion,false,false
37FCC2BB,Bicep Curl (Dumbbell),bicep_curl_dumbbell,elbow_flexion,false,false
0B4C1902,Bicep Curl (Suspension),bicep_curl_suspension,elbow_flexion,false,false
A41C7261,Bicycle Crunch,bicycle_crunch,core_flexion,false,false
38FC1AB9,Box Squat (Barbell),box_squat,squat,false,true
B5D3A742,Bulgarian Split Squat (Dumbbell),bulgarian_split_squat,lunge,true,true
9DCE2D64,Butterfly (Pec Deck),pec_deck,chest_isolation,false,false
23A48484,Cable Crunch,cable_crunch,core_flexion,false,false
651F844C,Cable Fly Crossovers,cable_fly,chest_isolation,false,false
91237BDD,Calf Press (Machine),calf_press,calf_raise,false,false
12017185,Chest Fly (Dumbbell),chest_fly_dumbbell,chest_isolation,false,false
78683336,Chest Fly (Machine),chest_fly_machine,chest_isolation,false,false
7EB3F7C3,Chest Press (Machine),chest_press_machine,horizontal_push,false,true
914F3A96,Chest Supported Incline Row (Dumbbell),chest_supported_row_dumbbell,horizontal_pull,false,true
29083183,Chin Up,chin_up,vertical_pull,false,true
724CDE60,Concentration Curl,concentration_curl,elbow_flexion,true,false
32C4D4A2,Cross Body Hammer Curl,cross_body_hammer_curl,elbow_flexion,false,false
EB43ADD4,Crunch (Machine),crunch_machine,core_flexion,false,false
D928C232,Crunch (Weighted),crunch_weighted,core_flexion,false,false
B9380898,Dead Hang,dead_hang,grip_hang,false,false
C6272009,Deadlift (Barbell),deadlift_barbell,hinge,false,true
B923B230,Deadlift (Trap bar),deadlift_trap_bar,hinge,false,true
18487FA7,Decline Bench Press (Dumbbell),decline_bench_press_dumbbell,horizontal_push,false,true
FAF31231,Decline Bench Press (Machine),decline_chest_press_machine,horizontal_push,false,true
BC10A922,Decline Crunch,decline_crunch,core_flexion,false,false
B2398CD1,Decline Crunch (Weighted),decline_crunch_weighted,core_flexion,false,false
C43825EA,Decline Push Up,push_up_decline,horizontal_push,false,true
d6c7fe3a-7a84-44d1-8560-38e5ac01fa87,Decline Row,decline_row_machine,horizontal_pull,false,true
6575F52D,Diamond Push Up,push_up_diamond,horizontal_push,false,true
F1E57334,Dumbbell Row,dumbbell_row,horizontal_pull,true,true
BF6ECE89,Dumbbell Step Up,step_up_dumbbell,lunge,true,true
01A35BF9,EZ Bar Biceps Curl,bicep_curl_ez_bar,elbow_flexion,false,false
BE640BA0,Face Pull,face_pull,rear_delt,false,false
867AC3B6,Feet Up Bench Press (Barbell),feet_up_bench_press_barbell,horizontal_push,false,true
2FA77B28,Flutter Kicks,flutter_kicks,core_hip_flexion,false,false
8293E554,Front Raise (Dumbbell),front_raise_dumbbell,shoulder_flexion,false,false
68B83EE0,Glute Ham Raise,glute_ham_raise,hamstring_isolation,false,true
CBA02382,Glute Kickback (Machine),glute_kickback,hip_extension,true,false
3D0C7C75,Goblet Squat,goblet_squat,squat,false,true
4180C405,Good Morning (Barbell),good_morning,hinge,false,true
1E42FD5F,Hack Squat (Machine),hack_squat,squat,false,true
36E8F14E,Hammer Curl (Cable),hammer_curl_cable,elbow_flexion,false,false
7E3BC8B6,Hammer Curl (Dumbbell),hammer_curl_dumbbell,elbow_flexion,false,false
08590920,Hanging Knee Raise,hanging_knee_raise,core_hip_flexion,false,false
F8356514,Hanging Leg Raise,hanging_leg_raise,core_hip_flexion,false,false
F4B4C6EE,Hip Abduction (Machine),hip_abduction,hip_abduction,false,false
D57C2EC7,Hip Thrust (Barbell),hip_thrust_barbell,hip_extension,false,true
68CE0B9B,Hip Thrust (Machine),hip_thrust_machine,hip_extension,false,true
50DFDFAB,Incline Bench Press (Barbell),incline_bench_press_barbell,incline_push,false,true
07B38369,Incline Bench Press (Dumbbell),incline_bench_press_dumbbell,incline_push,false,true
3A6FA3D1,Incline Bench Press (Smith Machine),incline_bench_press_smith,incline_push,false,true
D3E2AB55,Incline Chest Fly (Dumbbell),incline_chest_fly_dumbbell,chest_isolation,false,false
f893d510-59e3-42c9-9148-dd82aa3e4fb8,Incline Chest Fly Machine,incline_chest_fly_machine,chest_isolation,false,false
